작업일,선박위치,지사명,선박명,작업시간,수거량,원목수거량,원목수거본수,폐타이어수거량,폐타이어수거본수
20110101,역무선4잔교,인천지사,인천938호,2시간30분,500.0,0,0,0,0
20110102,제1부두,제주지사,제주935호,0시간40분,200.0,0,0,0,0
20110103,역무선4잔교,인천지사,인천938호,2시간30분,1150.0,0,0,50,1
20110103,제1부두,제주지사,제주935호,2시간20분,400.0,0,0,0,0
20110103,인천 내항 5부두,인천지사,인천936호,2시간40분,1500.0,0,0,100,2
20110103,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110103,국동항,여수지사,전남938호,1시간0분,100.0,0,0,0,0
20110103,관공선 부두,부산지사,부산936호,2시간0분,500.0,0,0,0,0
20110104,관공선부두,마산지사,푸르미1호,1시간50분,150.0,0,0,0,0
20110104,역무선4잔교,인천지사,인천938호,2시간30분,1000.0,0,0,0,0
20110104,제1부두,제주지사,제주935호,1시간0분,100.0,0,0,0,0
20110104,5부두,부산지사,부산931호,2시간0분,200.0,0,0,0,0
20110104,인천 내항 5부두,인천지사,인천936호,2시간40분,850.0,0,0,50,1
20110104,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110104,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110104,5부두,군산지사,전북920호,5시간20분,11500.0,11500,23,0,0
20110104,국동항,여수지사,전남938호,2시간0분,200.0,0,0,0,0
20110104,목포항 관공선 부두,목포지사,목포청해호,2시간0분,20.0,0,0,0,0
20110104,역무선4잔교,인천지사,인천937호,1시간40분,1000.0,0,0,0,0
20110105,여객선 부두 정계지,포항지사,경북939호,1시간30분,100.0,0,0,0,0
20110105,제1부두,제주지사,제주935호,1시간20분,150.0,0,0,50,1
20110105,인천 내항 5부두,인천지사,인천936호,2시간40분,1700.0,500,1,0,0
20110105,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110105,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110105,역무선부두,군산지사,전북920호,0시간40분,500.0,500,1,0,0
20110105,관공선 부두,부산지사,부산936호,,500.0,0,0,0,0
20110105,매암부두,울산지사,청화호,2시간0분,500.0,0,0,100,2
20110105,역무선4잔교,인천지사,인천937호,2시간0분,800.0,500,1,0,0
20110106,역무선4잔교,인천지사,인천938호,2시간0분,1050.0,0,0,150,3
20110106,5부두,부산지사,부산931호,2시간0분,300.0,0,0,0,0
20110106,인천 내항 5부두,인천지사,인천936호,2시간40분,900.0,0,0,100,2
20110106,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,150.0,0,0,0,0
20110106,5부두,부산지사,부산933호,2시간0분,300.0,0,0,0,0
20110106,목포항 관공선 부두,목포지사,목포청해호,2시간30분,10.0,0,0,0,0
20110106,역무선4잔교,인천지사,인천937호,2시간0분,700.0,0,0,100,2
20110107,관공선부두,마산지사,푸르미1호,1시간50분,100.0,0,0,0,0
20110107,여객선 부두 정계지,포항지사,경북939호,1시간0분,500.0,0,0,0,0
20110107,역무선4잔교,인천지사,인천938호,2시간0분,1250.0,0,0,50,1
20110107,제1부두,제주지사,제주935호,2시간20분,380.0,0,0,0,0
20110107,인천 내항 5부두,인천지사,인천936호,2시간40분,1800.0,1000,2,0,0
20110107,5부두,부산지사,부산933호,2시간0분,400.0,0,0,0,0
20110107,역무선부두,군산지사,전북920호,2시간10분,550.0,500,1,50,1
20110107,국동항,여수지사,전남938호,2시간0분,1100.0,0,0,0,0
20110107,관공선 부두,부산지사,부산936호,4시간0분,500.0,0,0,0,0
20110107,역무선4잔교,인천지사,인천937호,2시간30분,700.0,0,0,0,0
20110110,역무선4잔교,인천지사,인천938호,2시간0분,1200.0,500,1,0,0
20110110,5부두,부산지사,부산931호,2시간0분,500.0,0,0,0,0
20110110,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,300.0,0,0,0,0
20110110,역무선부두,군산지사,전북920호,2시간0분,300.0,0,0,0,0
20110110,국동항,여수지사,전남938호,1시간30분,50.0,0,0,0,0
20110110,목포항 관공선 부두,목포지사,목포청해호,2시간0분,10.0,0,0,0,0
20110110,역무선 4잔교,인천지사,인천937호,2시간0분,800.0,0,0,0,0
20110111,관공선부두,마산지사,푸르미1호,2시간20분,220.0,0,0,0,0
20110111,여객선 부두 정계지,포항지사,경북939호,3시간0분,500.0,0,0,0,0
20110111,역무선4잔교,인천지사,인천938호,2시간0분,1000.0,0,0,100,2
20110111,제1부두,제주지사,제주935호,2시간0분,700.0,0,0,50,1
20110111,1m,부산지사,부산931호,2시간0분,2000.0,0,0,0,0
20110111,인천 내항 5부두,인천지사,인천936호,2시간40분,1600.0,0,0,0,0
20110111,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110112,인천 내항 5부두,인천지사,인천936호,2시간30분,900.0,0,0,100,2
20110112,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110112,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110112,역무선부두,군산지사,전북920호,2시간0분,300.0,0,0,100,2
20110112,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110112,매암 부두,울산지사,청화호,2시간0분,500.0,0,0,0,0
20110112,역무선 4잔교,인천지사,인천937호,3시간0분,4500.0,0,0,0,0
20110113,관공선부두,마산지사,푸르미1호,1시간50분,100.0,0,0,0,0
20110113,여객선  부두 정계지,포항지사,경북939호,3시간0분,700.0,0,0,0,0
20110113,역무선4잔교,인천지사,인천938호,2시간0분,1100.0,0,0,0,0
20110113,제1부두,제주지사,제주935호,4시간0분,800.0,0,0,0,0
20110113,인천 내항 5부두,인천지사,인천936호,2시간40분,800.0,0,0,0,0
20110113,역무선부두,군산지사,전북920호,1시간20분,500.0,500,1,0,0
20110113,서부두,평택지사,청누리호,1시간30분,500.0,0,0,0,0
20110113,역무선4잔교,인천지사,인천937호,2시간20분,900.0,500,1,0,0
20110114,구항 화물 부두 정계지,포항지사,경북939호,1시간0분,500.0,0,0,0,0
20110114,역무선4잔교,인천지사,인천938호,2시간0분,750.0,0,0,50,1
20110114,제1부두,제주지사,제주935호,1시간30분,50.0,0,0,0,0
20110114,인천 내항 5부두,인천지사,인천936호,2시간30분,900.0,0,0,0,0
20110114,5부두,부산지사,부산933호,2시간0분,100.0,0,0,0,0
20110114,역무선부두,군산지사,전북920호,2시간0분,200.0,0,0,50,1
20110114,국동항,여수지사,전남938호,1시간30분,300.0,0,0,0,0
20110114,목포항 관공선 부두,목포지사,목포청해호,2시간30분,20.0,0,0,0,0
20110114,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110114,매암부두,울산지사,청화호,2시간0분,500.0,0,0,0,0
20110114,역무선4잔교,인천지사,인천937호,1시간40분,900.0,500,1,0,0
20110117,역무선4잔교,인천지사,인천938호,2시간0분,1200.0,0,0,0,0
20110117,인천 내항 5부두,인천지사,인천936호,2시간40분,2000.0,500,1,0,0
20110117,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110117,5부두,부산지사,부산933호,2시간0분,100.0,0,0,0,0
20110117,대산항 관리부두,대산지사,황금산호,2시간0분,1000.0,0,0,0,0
20110117,목포항 관공선 부두,목포지사,목포청해호,2시간30분,20.0,0,0,0,0
20110117,역무선4잔교,인천지사,인천937호,2시간30분,900.0,0,0,100,2
20110118,화물 부두 정계지,포항지사,경북939호,1시간10분,600.0,0,0,0,0
20110118,역무선4잔교,인천지사,인천938호,4시간50분,3600.0,0,0,0,0
20110118,제1부두,제주지사,제주935호,2시간40분,500.0,0,0,0,0
20110118,5부두,부산지사,부산931호,2시간0분,200.0,0,0,0,0
20110118,인천 내항 5부두,인천지사,인천936호,2시간20분,800.0,0,0,0,0
20110118,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,150.0,0,0,0,0
20110118,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110118,역무선부두,군산지사,전북920호,2시간20분,500.0,0,0,100,2
20110118,국동항,여수지사,전남938호,2시간0분,150.0,0,0,0,0
20110118,역무선4잔교,인천지사,인천937호,1시간40분,500.0,0,0,0,0
20110119,관공선 부두,마산지사,푸르미1호,1시간30분,150.0,0,0,0,0
20110119,제1부두,제주지사,제주935호,1시간20분,150.0,0,0,0,0
20110119,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110119,5부두,부산지사,부산933호,2시간0분,100.0,0,0,0,0
20110119,역무선부두,군산지사,전북920호,2시간30분,1200.0,0,0,0,0
20110119,관공선 부두,부산지사,부산936호,2시간0분,2000.0,0,0,0,0
20110119,매암 부두,울산지사,청화호,2시간0분,500.0,0,0,0,0
20110120,화물 부두  정계지,포항지사,경북939호,1시간0분,1000.0,0,0,0,0
20110120,역무선4잔교,인천지사,인천938호,2시간20분,1000.0,0,0,100,2
20110120,5부두,부산지사,부산931호,2시간0분,200.0,0,0,0,0
20110120,인천 내항 5부두,인천지사,인천936호,2시간40분,1600.0,0,0,0,0
20110120,목포항 관공선 부두,목포지사,목포청해호,2시간0분,500.0,0,0,0,0
20110120,관공선 부두,부산지사,부산936호,2시간0분,2000.0,0,0,0,0
20110120,서부두,평택지사,청누리호,2시간20분,500.0,0,0,0,0
20110120,역무선4잔교,인천지사,인천937호,3시간0분,600.0,0,0,0,0
20110121,화물부두 정계지,포항지사,경북939호,1시간0분,500.0,0,0,0,0
20110123,역무선4잔교,인천지사,인천937호,1시간30분,500.0,500,1,0,0
20110124,관공선 부두,마산지사,푸르미1호,1시간50분,150.0,0,0,0,0
20110124,화물 부두 정계지,포항지사,경북939호,2시간0분,100.0,0,0,0,0
20110124,5부두,부산지사,부산931호,2시간0분,600.0,0,0,0,0
20110124,인천 내항 5부두,인천지사,인천936호,2시간40분,1500.0,0,0,0,0
20110124,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,150.0,0,0,0,0
20110124,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110124,역무선부두,군산지사,전북920호,2시간10분,150.0,0,0,50,1
20110124,매암부두,울산지사,청화호,2시간0분,500.0,0,0,100,2
20110124,역무선4잔교,인천지사,인천937호,2시간0분,550.0,500,1,50,1
20110125,관공선 부두,마산지사,푸르미1호,1시간50분,150.0,0,0,0,0
20110125,역무선4잔교,인천지사,인천938호,2시간0분,1400.0,0,0,0,0
20110125,5부두,부산지사,부산931호,2시간0분,200.0,0,0,0,0
20110125,인천 내항 5부두,인천지사,인천936호,2시간40분,900.0,0,0,100,2
20110125,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,150.0,0,0,0,0
20110125,국동항,여수지사,전남938호,2시간0분,300.0,0,0,0,0
20110125,목포항 관공선 부두,목포지사,목포청해호,2시간30분,20.0,0,0,0,0
20110125,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110125,서부두,평택지사,청누리호,2시간0분,500.0,0,0,0,0
20110125,매암부두,울산지사,청화호,3시간0분,1000.0,0,0,0,0
20110125,역무선4잔교,인천지사,인천937호,2시간0분,400.0,0,0,0,0
20110126,구항 화물부두 정계지,포항지사,경북939호,1시간0분,100.0,0,0,0,0
20110126,역무선4잔교,인천지사,인천938호,2시간0분,1100.0,0,0,0,0
20110126,제1부두,제주지사,제주935호,3시간0분,500.0,0,0,0,0
20110126,인천 내항 5부두,인천지사,인천936호,2시간40분,2250.0,0,0,150,3
20110126,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110126,5부두,부산지사,부산933호,,250.0,0,0,0,0
20110126,역무선부두,군산지사,전북920호,2시간20분,300.0,0,0,0,0
20110127,역무선4잔교,인천지사,인천938호,2시간0분,1000.0,0,0,0,0
20110127,인천 내항 5부두,인천지사,인천936호,2시간40분,1700.0,0,0,100,2
20110127,5부두,부산지사,부산933호,2시간0분,300.0,0,0,0,0
20110127,역무선4잔교,인천지사,인천937호,2시간50분,350.0,0,0,50,1
20110128,구항  화물부두 정계지,포항지사,경북939호,1시간10분,250.0,0,0,0,0
20110128,역무선4잔교,인천지사,인천938호,2시간0분,1200.0,0,0,0,0
20110128,5부두,부산지사,부산931호,2시간0분,800.0,0,0,0,0
20110128,인천 내항 5부두,인천지사,인천936호,2시간40분,3600.0,1000,2,200,4
20110128,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110128,역무선부두,군산지사,전북920호,2시간0분,2600.0,0,0,250,5
20110128,목포항 관공선 부두,목포지사,목포청해호,2시간30분,150.0,0,0,0,0
20110128,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110128,서부두,평택지사,청누리호,1시간0분,350.0,0,0,50,1
20110128,매암 부두,울산지사,청화호,2시간0분,500.0,0,0,200,4
20110128,국동항,여수지사,전남939호,,2200.0,0,0,0,0
20110128,역무선4잔교,인천지사,인천937호,2시간10분,500.0,0,0,0,0
20110131,구항 화물부두 정계지,포항지사,경북939호,1시간0분,200.0,0,0,0,0
20110131,역무선4잔교,인천지사,인천938호,2시간0분,1100.0,0,0,0,0
20110131,제1부두,제주지사,제주935호,2시간30분,500.0,0,0,0,0
20110131,5부두,부산지사,부산931호,2시간0분,1000.0,0,0,0,0
20110131,인천 내항 5부두,인천지사,인천936호,3시간10분,3000.0,1000,2,200,4
20110131,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110131,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110131,목포항 관공선 부두,목포지사,목포청해호,2시간30분,150.0,0,0,0,0
20110131,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110131,역무선 4잔교,인천지사,인천937호,3시간0분,600.0,0,0,0,0
20110201,관공선 부두,마산지사,푸르미1호,1시간50분,200.0,0,0,0,0
20110201,역무선4잔교,인천지사,인천938호,2시간0분,1400.0,0,0,0,0
20110201,5부두,부산지사,부산931호,2시간0분,500.0,0,0,0,0
20110201,인천 내항 5부두,인천지사,인천936호,3시간10분,1900.0,500,1,100,2
20110201,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110201,5부두,부산지사,부산933호,2시간0분,200.0,0,0,0,0
20110201,국동항,여수지사,전남938호,2시간0분,300.0,0,0,0,0
20110201,서부두,평택지사,청누리호,2시간0분,500.0,0,0,0,0
20110201,매암 부두,울산지사,청화호,2시간0분,500.0,0,0,200,4
20110201,역무선4잔교,인천지사,인천937호,1시간40분,500.0,0,0,0,0
20110202,역무선4잔교,인천지사,인천937호,1시간20분,500.0,500,1,0,0
20110204,역무선4잔교,인천지사,인천937호,1시간30분,500.0,500,1,0,0
20110205,역무선4잔교,인천지사,인천938호,2시간0분,1000.0,0,0,0,0
20110206,역무선4잔교,인천지사,인천938호,2시간0분,1500.0,0,0,0,0
20110207,구항 화물부두 정계지,포항지사,경북939호,3시간0분,100.0,0,0,0,0
20110207,제1부두,제주지사,제주935호,1시간30분,100.0,0,0,0,0
20110207,인천 내항 5부두,인천지사,인천936호,2시간40분,1900.0,0,0,0,0
20110207,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,200.0,0,0,0,0
20110207,국동항,여수지사,전남938호,1시간30분,400.0,0,0,0,0
20110207,관공선 부두,마산지사,푸르미2호,2시간30분,500.0,0,0,0,0
20110207,매암 부두,울산지사,청화호,2시간0분,500.0,0,0,200,4
20110207,국동항,여수지사,전남939호,3시간0분,270.0,0,0,0,0
20110207,역무선4잔교,인천지사,인천937호,2시간30분,7000.0,7000,1,0,0
20110208,관공선 부두,마산지사,푸르미1호,1시간50분,200.0,0,0,0,0
20110208,역무선4잔교,인천지사,인천938호,2시간0분,1300.0,0,0,0,0
20110208,5부두,부산지사,부산931호,2시간0분,500.0,0,0,0,0
20110208,인천 내항 5부두,인천지사,인천936호,2시간30분,1500.0,500,1,0,0
20110208,5부두,부산지사,부산933호,2시간0분,350.0,0,0,0,0
20110208,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110208,역무선4잔교,인천지사,인천937호,2시간0분,400.0,0,0,0,0
20110209,구항 화물부두 정계지,포항지사,경북939호,1시간0분,50.0,0,0,0,0
20110209,역무선4잔교,인천지사,인천938호,2시간0분,1400.0,0,0,0,0
20110209,인천 내항 5부두,인천지사,인천936호,2시간30분,1300.0,0,0,0,0
20110209,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,150.0,0,0,0,0
20110209,역무선부두,군산지사,전북920호,2시간0분,1500.0,0,0,200,4
20110209,목포항 관공선 부두,목포지사,목포청해호,2시간30분,50.0,0,0,0,0
20110209,서부두,평택지사,청누리호,1시간30분,500.0,0,0,0,0
20110209,매암부두,울산지사,청화호,2시간0분,500.0,0,0,300,6
20110209,역무선4잔교,인천지사,인천937호,1시간30분,3000.0,0,0,0,0
20110210,관공선 부두,마산지사,푸르미1호,1시간50분,200.0,0,0,0,0
20110210,역무선4잔교,인천지사,인천938호,2시간0분,1500.0,0,0,0,0
20110210,5부두,부산지사,부산931호,2시간0분,1000.0,0,0,0,0
20110210,인천 내항 5부두,인천지사,인천936호,2시간20분,800.0,0,0,0,0
20110210,묵호항 중앙부두 정계지,동해지사,강원907호,1시간0분,100.0,0,0,0,0
20110210,5부두,부산지사,부산933호,2시간0분,500.0,0,0,0,0
20110210,대산항 관리부두,대산지사,황금산호,2시간0분,1000.0,0,0,0,0
20110210,관공선 부두,부산지사,부산936호,2시간0분,1000.0,0,0,0,0
20110210,역무선4잔교,인천지사,인천937호,1시간30분,300.0,0,0,0,0
20110211,역무선4잔교,인천지사,인천938호,2시간0분,1700.0,0,0,0,0
20110211,5부두,부산지사,부산931호,2시간0분,1000.0,0,0,0,0
20110211,인천 내항 5부두,인천지사,인천936호,2시간30분,700.0,0,0,0,0
20110211,관공선 부두,마산지사,푸르미2호,,300.0,0,0,0,0
20110211,목포항 관공선 부두,목포지사,목포청해호,2시간0분,30.0,0,0,0,0
20110211,매암부두,울산지사,청화호,2시간0분,500.0,0,0,200,4
20110211,낙포 부두,여수지사,전남939호,3시간0분,300.0,0,0,0,0
20110211,역무선4잔교,인천지사,인천937호,1시간0분,200.0,0,0,0,0
20110214,역무선4잔교,인천지사,인천938호,2시간0분,5000.0,0,0,0,0
20110214,5부두,부산지사,부산931호,2시간0분,1000.0,0,0,0,0
20110214,인천 내항 5부두,인천지사,인천936호,2시간40분,1900.0,500,1,100,2
20110214,국동항,여수지사,전남938호,1시간30분,200.0,0,0,0,0
20110214,낙포부두,여수지사,전남939호,2시간0분,420.0,0,0,0,0
20110214,역무선4잔교,인천지사,인천937호,2시간40분,500.0,0,0,0,0
20110215,역무선4잔교,인천지사,인천938호,2시간0분,1200.0,0,0,0,0
20110215,제1부두,제주지사,제주935호,1시간0분,300.0,0,0,0,0
20110215,인천 내항 5부두,인천지사,인천936호,2시간40분,1650.0,500,1,50,1
20110215,5부두,부산지사,부산933호,2시간0분,300.0,0,0,0,0
20110215,관공선 부두,마산지사,푸르미2호,2시간20분,300.0,0,0,0,0
20110215,목포항 관공선 부두,목포지사,목포청해호,2시간30분,1000.0,0,0,0,0
20110215,관공선 부두,부산지사,부산936호,2시간0분,1500.0,0,0,0,0
