년도,사업명(위치),수거물량 계획(톤),수거물량 실적(톤),정화면적 계획(ha),정화면적 실적(ha),사업기간
2018,보령시 보령항,65.59,65.59,"3,212","3,212",6.25~9.22
2018,사천시 삼천포항,69.29,69.29,23,23,3.16~5.14
2018,포항시 포항항,67.75,67.75,"2,325","2,325",6.19~8.17
2018,창원시 마산항,51.72,51.72,400,400,6.29~8.27
2018,창원시 진해항,61.6,61.6,500,500,3.16~7.15
2018,서산시 대산항,47.27,47.24,"1,458","1,458",6.27~8.25
2018,서천군 장항항,88.43,88.43,200,200,3.16~7.20
2018,속초시 속초항,124.38,109.81,38,37.5,3.16~5.14
2018,거제시 장승포항,113.94,113.94,15,15,3.16~5.14
2018,제주시 한림항,115.82,115.82,31,30.8,6.19~8.17
2018,인천시 인천항,215.22,240.99,945,945,8.10~11.7
2018,태안군 태안항,39.31,39.31,430,430,8.10~10.8
2018,완도군 완도항,31.0,20.64,21,21,10.19~12.7
2018,제주시 제주항,108.21,108.3,31,31.1,8.10~11.7
2018,제주시 추자항,45.84,45.84,29.3,26.3,8.10~11.7
2018,제주시 서귀포항,176.3,174.96,16.8,16.8,10.18~12.26
2018,대흑산도항 주변해역(이월),169.0,221.74,51,51.85,19.2.19~'19.4.26
2018,성산포항(이월),170.0,149.75,6.8,6.8,19.2.19~'19.4.19
2018,하동마도 주변,23.0,30.98,340,340,10.19~12.7
2018,목포북항,106.0,155.89,13,12.94,11.16~12.31
2018,여수 소호동 주변 ,92.0,110.59,414,443,11.16~12.31
2018,신안군 가거도 주변,25.0,22.76,10,11.6,11.15~12.31
2018,신안군 홍도항,35.0,35.63,20,20.3,11.15~12.31
2018,여수 가막만 주변,247.07,247.9,100,108.39,10.19~12.7
2018,목포시 목포항,71.76,71.76,10,9.2,10.19~12.7
2018,강릉시 주문진항,47.83,47.83,25,25.79,10.19~12.7
2018,통영시 중화항,18.06,18.06,20,8,11.16~12.25
2018,고흥군 녹동신항,12.32,8.83,15,4.9,11.15~12.31
2018,연안 대청소 활성화지원,11.53,11.53,-,-,8.7~8.27
2018,먼바다 해양쓰레기 수거지원 ,56.67,56.67,-,-,7.30~11.30
2017,평택 당진항,60.0,60.54,730,730,6.23 ~ 9.10
2017,인천 시화호,77.0,77.45,650,650,6.21 ~ 12.3
2017,강릉 주문진항,75.0,114.43,26,26,7.10 ~ 9.7
