지역,2017,,2018,,2019,,2020,
,개수(EA),무게(㎏),개수(EA),무게(㎏),개수(EA),무게(㎏),개수(EA),무게(㎏)
강화여차리갯벌,5927,522.6,2004,357.6,1485,81.6,12,6
안산말부흥,227,26.2,75,2.2,57,1.7,,
태안백리포,372,194.1,126,140.2,135,103.4,,
보령석대도,257,177.4,297,813.4,179,196.8,,
부안변산,434,222,165,346.1,153,215.6,,
신안임자도,715,240.9,340,149.6,532,104,,
진도하조도,643,314.1,157,23.8,109,26.5,,
해남묵동리,487,111,62,11.9,313,36,,
고흥신흥,3277,415.2,704,188.8,186,28.1,,
순천반월,1006,32.6,1488,54.1,382,11.8,,
사천아두도,970,168.2,416,52,1240,35.6,,
통영망일봉,2123,263.7,643,19.9,1177,27.8,,
마산봉암갯벌,2517,115,758,15.2,644,19.3,,
부산해양대,1435,115.4,1493,13.5,2324,12.3,,
울산대왕암,3212,282.2,1256,45.2,2117,15.6,,
포항칠포,2692,64.6,1115,52.2,1047,32.3,,
울진후정,1178,95.9,572,9.5,800,21.3,,
강릉송정,1206,35.5,131,9.7,186,1.8,,
속초청초,1758,56.9,685,49.3,977,14.4,,
인천백령도 사곶해안,580,405.4,304,115.9,114,63.8,,
인천영종도 용유해변,246,50.5,71,6.4,71,5.5,,
인천덕적도 서포리해변,2599,328.3,100,7.8,107,3.3,,
태안안면도 바람아래해변,502,577.4,306,553.8,181,180.2,,
서천다사항해변,531,360,134,89.6,303,243.3,44,27.9
고창동호해변,1445,518.4,253,108.4,202,37,,
영광백바위해변,1392,533,373,139.6,211,50.4,,
신안고장리해변,593,579.7,380,100.2,400,210.8,,
해남예락해변,650,346.2,241,83.2,205,114.8,,
해남송평해변,1067,838.5,359,125,258,117.4,,
제주김녕리해안,2109,431.7,1151,195.9,1193,83.3,,
완도신지도해변,670,220,206,83.4,328,148.4,,
여수백야도해변,1634,70.4,809,45.5,348,12.1,,
고흥염포해변,1296,122,529,51.3,652,78.8,,
남해유구해변,671,197.8,365,62.9,174,12.9,,
거제두모몽돌해변,2827,115.9,8075,77.7,5282,54.7,,
울주진하해변,1518,147.9,2939,113.3,1039,54.6,,
동해노봉해변,735,40,159,2.7,368,7.8,,
영덕고래불해변,4495,147,516,25.7,722,8.6,,
포항구룡포 대보해변,4583,223.5,2103,53.1,4494,213.6,,
제주사계리해안,365,86.4,71,3.4,25,11.4,,
합계,60944,9793.5,31931,4399,30720,2698.6,56,33.9
