년월,생태구역,해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,수거량,수거량2,정화면적,일별처리량,시설용량(톤/일)(A),방류BOD(mg/L)평균,"평균
처리효율
(%)",방류COD(mg/L)평균,방류SS(mg/L)평균,방류T-N(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균
201702,동해,1,10.581,10.2312,34.3232,34.3175,8.27,8.26,9.113999274,9.097060966,1.160736,1.209552,1.302,2.198,2.534,1.652,65.66,65.548,69.496,69.398,137.536,153.146,10.447,10.664,20.677,25.389,228.088,233.296,9.25,6.25,0.688,0.494,13,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,10.0457,9.8817,34.3308,34.3363,8.28,8.28,9.364383869,9.280671371,1.209552,0.900384,0.784,2.184,2.198,2.618,63.77,72.254,66.752,77.056,145.894,152.964,9.3,10.974,20.739,24.521,232.288,266.056,11.85,13.4,0,0.506,9,0.053470309,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
201702,동해,1,10.1998,10.1294,34.2738,34.2607,8.18,8.21,9.614768464,9.280671371,0.9492,0.900384,2.086,1.68,1.82,2.702,53.718,79.996,57.624,84.378,173.432,145.348,8.153,10.664,24.862,20.212,177.184,258.804,10.55,7.75,0.636,0.468,11,0.053470309,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
201702,동해,1,10.3197,10.3108,34.3053,34.3041,8.23,8.22,9.197460805,9.180520241,1.03056,1.160736,14.252,2.716,1.68,1.876,59.458,57.106,75.39,61.698,145.264,138.572,8.99,9.269,19.592,18.879,208.852,201.824,9.7,9.55,0.426,0.53,13,0.053470309,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
201702,동해,1,10.2328,10.1598,34.3015,34.2956,8.26,8.24,9.364383869,9.297363226,1.209552,1.046832,1.442,3.066,1.918,1.876,57.722,53.452,61.082,58.394,165.55,155.078,9.548,9.114,13.671,24.18,211.344,188.776,12,4.3,0,0.396,10,0.053470309,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
201702,동해,1,10.3515,10.3304,34.233,34.2848,8.28,8.28,9.197460805,9.130444676,1.160736,1.046832,3.066,3.388,2.24,1.512,68.334,55.566,73.64,60.466,152.754,145.628,9.796,8.99,19.406,19.995,249.256,202.468,9.75,5.1,0.376,0.492,13,0.053470309,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
201702,동해,1,10.5022,10.3445,34.3036,34.3047,8.27,8.29,9.381076175,9.280671371,1.063104,0.70512,2.45,2.604,1.428,1.582,46.508,52.864,50.386,57.05,143.556,172.41,7.905,8.618,18.91,21.762,174.944,217.868,7.05,5,0.62,0.994,12,0.053470309,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
201702,동해,1,10.5017,10.204,34.3303,34.3161,8.27,8.28,9.113999274,9.3808225,1.19328,0.86784,1.61,2.87,2.198,1.022,61.334,50.316,65.142,54.208,100.282,162.4,9.61,8.618,12.183,20.367,236.936,226.296,8.75,4.5,0.556,0.948,11.5,0.053470309,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
201702,동해,1,10.3727,10.2575,34.2933,34.3108,8.29,8.29,9.230845418,9.280671371,0.737664,1.079376,2.114,3.99,2.226,2.03,66.78,63.994,71.12,70.014,165.298,167.538,10.199,9.796,21.266,21.545,237.692,240.66,5.65,7.45,0.456,0.468,13.5,0.053470309,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
201702,동해,1,10.3608,10.152,34.2789,34.308,8.29,8.29,9.381076175,9.464281775,0.9492,1.19328,3.444,3.626,2.058,1.596,58.408,55.86,63.91,61.082,144.984,166.18,9.3,8.928,17.143,21.514,214.76,220.388,7.8,5.5,0.862,0.8,12,0.053470309,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
201702,동해,2,9.8777,10.0348,34.2496,34.3083,8.18,8.22,9.614768464,9.48097363,1.095648,0.672576,5.474,2.66,1.582,2.044,50.68,58.772,57.736,63.476,110.908,168.56,8.494,9.238,13.609,20.522,211.456,232.008,6.4,5.2,0.596,0.716,7,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,10.1496,10.1651,34.3203,34.3204,8.22,8.22,9.414460788,9.364130645,0.663402667,0.455061333,3.948,3.654,1.554,1.218,51.268,42.588,56.77,47.46,112.84,168.476,8.68,7.936,13.609,21.173,203.504,174.72,7.1,6,0.548,0.818,12,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,10.4056,10.3807,34.3651,34.3604,8.23,8.22,9.330999256,9.364130645,0.965472,1.11192,1.876,2.254,1.526,2.198,51.954,60.312,55.356,64.764,146.818,169.4,8.649,9.424,19.189,22.072,202.72,233.324,26.6,8.45,0.816,0.522,13,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,10.5349,10.4194,34.3404,34.3556,8.21,8.23,9.414460788,9.34743879,0.5424,1.372272,1.694,3.724,3.052,2.212,74.662,65.786,79.408,71.722,117.334,164.556,8.773,9.362,14.446,20.491,211.624,237.328,7.05,3.35,0.226,0.27,14,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,10.4677,10.4693,34.3706,34.3702,8.22,8.21,9.147383886,9.180520241,0.614058667,0.635989333,2.422,2.1,1.89,1.736,65.912,61.796,70.224,65.632,154.672,139.776,10.695,10.23,19.84,16.895,244.524,232.484,3.45,4.1,0.486,0.518,14,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.1152,10.8041,34.3139,34.3276,8.3,8.29,9.047230048,8.796607576,0.614058667,0.800469333,9.058,3.57,3.08,3.122,66.584,73.458,78.722,80.15,165.662,186.984,10.292,11.036,19.84,23.56,232.204,245.616,2.9,2.55,0.26,0.264,12,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
201702,동해,1,11.1186,11.0065,34.3386,34.3496,8.3,8.31,9.030537742,8.996909836,0.696298667,0.586645333,5.446,1.624,2.576,2.31,55.426,56.756,63.448,60.69,132.804,177.828,9.083,9.765,15.438,21.142,194.964,193.2,1.6,7.5,0.268,0.262,12,0.053470309,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
