생태구역,일별처리량,시설용량(톤/일)(A),유입BOD(mg/L)평균,방류BOD(mg/L)평균,"평균
처리효율
(%)",유입COD(mg/L)평균,방류COD(mg/L)평균,유입SS(mg/L)평균,방류SS(mg/L)평균,유입T-N(mg/L)평균,방류T-N(mg/L)평균,유입T-P(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균,년
대한해협,5068.634220231823,7615.384615384615,377.63972339304524,3.0536427599227247,0.935809676407636,240.51667281348787,10.095590241189559,181.49729188619602,3.213725199283846,43.00577326218142,7.361591957957694,5.808366461162823,0.1935626217168169,185.1188462270226,2015
동해,721.9191780821918,2221.4285714285716,1517.0,3.1142857142857143,0.9947586904852798,689.7857142857143,13.581428571428571,760.1714285714286,2.3757142857142854,187.8302857142857,10.212714285714286,31.342142857142854,0.5314285714285714,94.14285714285714,2015
서남해역,5304.519664162617,8584.838709677419,350.0125320371189,3.7246133451171017,0.914567053930379,268.1871851524525,11.431347768448962,309.3290057445868,3.655139195757843,42.76479867432612,10.62010154661953,6.957486257180734,0.5452766239505081,120.64269553689792,2015
서해중부,6157.831160382245,9800.103092783505,298.4584061859861,4.160226018570824,0.9758748351501751,181.57849840848309,10.217168560090384,183.55797239112945,3.533251904297886,40.24741177068418,8.85174712727519,5.630099527382637,0.4295700230497538,129.51357633016124,2015
제주,3958.3624999999997,4883.875,78.17083333333333,4.947916666666665,90.11675656937503,61.95416666666666,8.906250000000002,132.60930230000008,7.661627907000006,34.306812500000014,12.033312500000001,4.1674999999999995,1.3325833333333332,76.86041666666667,2015
대한해협,2060.8624999999997,8126.666666666667,319.69857473073574,2.629074453551912,0.9476875000000002,219.6438046448088,9.615932377049177,220.58458788706744,3.044075250455373,46.74072012750457,6.934330566939892,5.467646550546448,0.1774533242258652,288.79405737704917,2016
동해,2977.285714285714,2221.4285714285716,1523.8857142857144,2.057142857142857,0.9967142857142858,733.9571428571429,11.114285714285714,818.4714285714286,2.7285714285714286,164.31,8.072142857142856,29.399714285714282,0.40914285714285714,84.78571428571429,2016
서남해역,7326.636363636364,7763.636363636364,314.5943333333334,3.2899403874813715,0.9364242424242425,186.83948501407517,9.810298062593144,241.44155944692824,3.069986156648451,49.17726571728211,9.69043806771139,6.7919829128994875,0.4893507511177349,82.83437638681902,2016
서해중부,6793.58,9444.6,289.55606592580205,3.51792612259033,0.9767099999999992,192.73785360948372,9.883923496866693,207.19243072935802,2.9351019081285705,42.56260818509719,7.962069311895347,5.3083482534481625,0.2657001085542061,144.96434657419078,2016
제주,4130.75,4883.979166666667,89.51458333333333,4.872916666666666,91.84911410958334,50.47083333333335,9.247916666666667,132.60930230000008,7.661627907000006,32.16706249999999,12.5465,4.156583333333334,1.3297708333333336,183.02083333333334,2016
대한해협,4876.070015220699,7389.444444444444,273.7708888888889,2.3179449211466943,0.9498772306648618,165.7960270655271,8.737063912637574,173.6951054131054,2.4258797415712277,40.9238660968661,6.661255341880343,4.6550698005698,0.16120398058892624,218.3033112491999,2017
동해,650.5054794520548,1971.25,1471.6963112745095,1.8055882352941177,0.9963080284964964,727.4574460784315,10.179448529411765,725.3144241013072,1.9902819044117646,145.74634657686605,7.197561597187895,24.320630259639742,0.32369755667745564,80.04578431372549,2017
서남해역,5309.478704856786,7763.636363636364,288.3356310415988,3.5869001846421193,0.9516575058672299,186.12704029542738,9.96270202020202,271.4984647550776,3.2515561529271206,45.898176580319316,9.605931576517865,8.980074467796243,0.4123383648311067,155.08382535027695,2017
서해중부,6382.40238329565,9433.59223300971,305.79273823197724,2.7263678471107395,0.9833050159679824,196.43371260813166,9.670421753342715,256.4087252736454,3.0480868359667945,45.88737643401669,8.100635282986028,5.7614830109831185,0.2363061546520581,124.17135767342575,2017
제주,4411.7195652173905,5279.630434782609,123.64999999999999,4.767391304347827,95.15869565217396,58.467391304347814,9.389130434782611,132.70434782608697,5.115217391304347,36.155239130434786,12.124195652173912,10.072521739130433,1.380608695652174,336.80434782608694,2017
,42324.69706457925,50142.857142857145,124.39916676271162,2.408857142857142,0.9788431250439636,116.39861213736302,12.557445236790608,144.14752380226957,3.1479256360078276,34.3724636133749,10.170802090019565,3.3786348273222777,0.2728522426614481,90.30306269548565,2018
대한해협,2802.1236314240773,4702.5,281.5652512801628,2.402300950155975,0.9407755093360588,177.65156552355026,8.594965932109304,177.02486480017754,2.4034749077308892,44.22315281883414,6.697789910882463,5.044357348426152,0.12355517549168735,126.91030111848713,2018
동해,704.0618082919462,2052.222222222222,1343.3770318650863,2.10772331667994,0.9958123283007231,600.3551144000999,8.747402625814855,664.6517810588955,1.897920992884469,142.81427511312333,6.960695984593496,21.81106908270069,0.24656268780370702,88.65741897303805,2018
서남해역,1694.093072439534,3175.757575757576,222.27677784354137,2.75600530554599,0.95859423452412,159.312586335592,9.296113538459638,359.96958408063824,2.9087069332647886,43.46754777732571,9.9952363443596,6.60887147658895,0.388087032809676,268.557921503527,2018
서해중부,5834.348324369791,9520.18691588785,293.8794411537676,2.664369720803686,0.9737963851095539,165.7421150993643,9.320105351881377,206.98374469287916,3.3559804131173303,40.229223751770746,7.89373236156841,5.297361245559641,0.24803794698997203,131.72448733860932,2018
제주,5527.950000000001,6054.775,121.56249999999997,8.255,92.86499999999998,62.942499999999995,14.280000000000001,132.49999999999997,10.589999999999998,35.44084999999999,15.26415,8.282725000000003,1.7449749999999997,415.0,2018
