시군,일별처리량,시설용량(톤/일)(A),유입BOD(mg/L)평균,방류BOD(mg/L)평균,"평균
처리효율
(%)",유입COD(mg/L)평균,방류COD(mg/L)평균,유입SS(mg/L)평균,방류SS(mg/L)평균,유입T-N(mg/L)평균,방류T-N(mg/L)평균,유입T-P(mg/L)평균,방류T-P(mg/L)평균,방류대장균군수(개/mL)평균,년
강릉시,1585.0,2600.0,3885.1,1.2,0.999691127641502,1400.6,9.3,1380.3,1.3,419.29,11.995,66.92,0.208,0.0,2015
거창군,170.15068493150685,1300.0,138.5,1.5,0.9891696750902528,134.5,7.1,371.4,2.9,34.79,8.5,4.211,0.1,6.0,2015
경산시,82012.0,100000.0,162.9,3.7,0.9772866789441376,95.4,9.2,160.1,2.9,39.663,10.863,4.435,0.116,216.0,2015
경주시,89.0,200.0,226.5,3.9,0.9827814569536424,151.4,17.2,94.3,3.3,58.0,14.8,4.439,0.9,191.0,2015
고령군,1230.063698630137,1730.0,975.9,3.3499999999999996,0.8118331334709399,602.3,13.0,230.32500000000002,3.487,48.151,4.5305,8.286,0.0695,60.9375,2015
고성군,414.51027397260276,610.0,974.8699999999999,2.85,0.9945403170166911,361.45,14.899999999999999,250.95,1.75,181.3065,7.111,10.142,0.662,146.0,2015
고흥군,151.0,400.0,908.6,2.6,0.9971384547655734,563.8,6.2,388.2,1.8,59.12300000000001,7.729,27.894,1.766,42.5,2015
공주시,264.2246575342466,682.0,732.0219999999999,2.757,0.9947393051466904,291.25,12.761,476.03099999999995,3.134,96.098,20.5032,11.2656,2.73836,28.18,2015
광양시,1676.0,3200.0,66.6,6.8,0.8978978978978979,71.4,17.6,196.1,3.2,43.68,8.5,3.69,0.58,1.0,2015
괴산군,109.8,250.0,122.0,0.8,0.9934426229508196,70.0,4.7,97.0,2.0,29.0,12.0,5.6,0.2,47.0,2015
구례군,264.3835616438356,350.0,350.8,4.3,0.9795518723143032,229.29999999999998,11.149999999999999,239.5,2.35,19.3355,5.1815000000000015,1.428,0.14,109.0,2015
구미시,331.5068493150685,540.0,645.0,0.8,0.9987596899224808,338.0,5.9,214.0,5.4,42.589,4.855,6.752999999999999,0.063,0.0,2015
군산시,8607.094520547947,15150.0,174.35000000000002,3.4000000000000004,0.9784384388122624,170.65,10.45,136.8,1.9,46.503,11.6825,5.822,0.411,48.45,2015
군위군,274.83287671232875,600.0,1939.95,3.45,0.8904033032027675,1394.25,6.65,406.15000000000003,2.75,43.995,8.332,19.4445,0.2475,23.5,2015
금산군,678.3106164383563,770.0,94.22,5.6625,0.9154523701871872,85.6,7.2325,117.66,5.005,24.5025,7.968,4.2995,0.141775,287.625,2015
기장군,416.0,1000.0,246.6,6.4,0.9740470397404704,134.6,9.3,75.8,2.2,76.43,7.392,10.285,0.28600000000000003,379.0,2015
김제시,279.45205479452056,450.0,452.0,9.6,0.9787610619469028,178.6,21.7,308.6,5.3,80.542,13.634,13.392,1.3430000000000002,900.0,2015
김포시,1898.0,3400.0,306.8,2.0,0.9934810951760104,148.9,9.3,213.5,0.7,67.456,7.338999999999999,7.315,0.022,153.0,2015
김해시,169.24383561643836,390.0,99.56666666666666,4.733333333333333,0.9518702389697474,90.63333333333333,10.933333333333332,102.03333333333335,5.066666666666666,45.004999999999995,13.231666666666667,4.497,0.21033333333333334,242.66666666666666,2015
나주시,293.1506849315069,1200.0,451.2,3.4,0.9924645390070922,317.5,3.7,494.5,1.4,43.9,4.48,14.8,0.08,62.2,2015
논산시,637.8424657534247,1225.0,517.5,4.0,0.9904292154495726,486.15,9.05,324.3,2.6,54.623,6.5905000000000005,17.1145,0.1115,224.0,2015
단양군,15.0,110.0,56.04,2.19,0.9609207708779444,31.54,4.31,33.51,1.72,43.64,15.71,14.22,0.27,55.0,2015
달서구,36980.82191780821,60000.0,231.3,0.6,0.9974059662775616,170.4,12.3,116.2,1.0,30.024,8.246,1.469,0.14400000000000002,75.0,2015
달성군,5919.523972602739,8875.0,165.975,1.2750000000000001,0.9922871221539291,112.475,5.1,158.6,1.75,37.218,7.36575,5.3145,0.06425,611.5,2015
당진시,1614.0705479452054,2650.0,210.575,2.575,0.9876522433460658,142.89999999999998,6.825,131.325,4.775,25.642500000000002,8.318000000000001,2.79825,0.7474999999999999,130.5,2015
대덕구,52013.69863013698,60000.0,113.6,1.6,0.9859154929577464,99.7,14.6,149.4,4.8,31.067,12.693,2.91,0.115,93.0,2015
동해시,1900.0,6500.0,2168.5,3.1,0.9985704403965876,879.7,13.3,1575.5,3.8,266.329,11.388,59.72,0.337,388.0,2015
무안군,175.34246575342468,475.0,345.70000000000005,4.75,0.9864046664522688,185.2,12.55,461.15,6.2,31.621499999999997,6.928,11.453,1.4794999999999998,108.0,2015
보령시,264.20091324200916,533.3333333333334,48.96666666666667,4.1000000000000005,0.9101648421905821,58.0,6.566666666666666,27.5,2.5333333333333337,25.621,4.203333333333333,1.8546666666666667,0.4323333333333333,487.0,2015
봉화군,169.86301369863008,350.0,1319.0,2.49,0.9981122062168308,705.7,12.16,228.5,5.84,81.5,3.74,25.0,0.34,613.3,2015
