년,시도,시군,일별처리량,"소재지
(도로명 주소 및 지번주소 병기)",시설용량(톤/일)(A),유입BOD(mg/L),방류BOD(mg/L),유입COD(mg/L),방류COD(mg/L),유입SS(mg/L),방류SS(mg/L),유입T-N(mg/L),방류T-N(mg/L),유입T-P(mg/L),방류T-P(mg/L),유입대장균군수(개/mL),방류대장균군수(개/mL),처리효율
2018,제주시,제주시,10,제주특별자치도 제주시 한림읍 협재리 산 1-10,12,115.6,9.6,82.7,19.4,138.4,23.7,45.704,29.589,5.548,2.26,57583,136,91.7
2018,제주시,제주시,12,제주특별자치도 제주시 애월읍 유수암리 1043-3,16,108.5,3.9,52.7,6.1,135.4,3.9,30.81,14.965,4.333,2.179,447,40,96.4
2018,제주시,제주시,13,제주특별자치도 제주시 한림읍 협재리 산 1-10,30,98.8,3,113.4,6.3,184.5,4.5,11.984,7.914,2.694,1.195,625,81,97
2018,제주시,제주시,26,제주특별자치도 제주시 한림읍 월림리 291-8,35,83.3,2.8,37.3,5.1,130.8,3.8,9.72,4.401,1.984,0.807,442,42,96.6
2018,제주시,제주시,10,제주특별자치도 제주시 한림읍 금악리 3453,40,99.4,3.5,48.4,5.6,177.6,3.4,11.305,2.489,2.706,0.988,562,64,96.5
2018,제주시,제주시,33,제주특별자치도 제주시 우도면 연평리 2353-1,40,79.2,16.6,56.5,21.9,132.9,24.1,19.834,12.46,2.064,1.451,60416,158,79
2018,제주시,제주시,38,제주특별자치도 제주시 추자면 예초리 191-2,45,114.1,13.5,62,14.2,62.7,28.9,35.096,11.734,3.889,1.134,137818,292,88.2
2018,제주시,제주시,37,제주특별자치도 제주시 우도면 연평리 1787-1,45,104.3,13.9,58.1,36.8,112,40.3,25.479,13.851,2.654,1.586,55500,122,86.7
2018,제주시,제주시,24,제주특별자치도 제주시 우도면 연평리 674,45,129.5,18.2,57.1,25,127.3,17.7,44.715,30.122,4.359,2.895,57583,50,85.9
2018,제주시,제주시,55,제주특별자치도 제주시 우도면 연평리 290-10,60,91.7,15.3,44.8,12.9,72.7,12.9,28.913,15.402,4.519,2.393,74902,316,83.3
2018,제주시,제주시,82,제주특별자치도 제주시 추자면 묵리 729,100,139.6,7.4,65.9,9.6,119.8,11.1,44.253,18.902,6.288,2.811,109808,627,94.7
2018,제주시,제주시,51,제주특별자치도 제주시 우도면 연평리 2589-1,100,162.6,14.3,63.4,12.6,116.6,11.4,41.34,15.241,5.936,3.471,119074,713,91.2
2018,제주시,제주시,48,제주특별자치도 제주시 우도면 연평리 2430-4,100,157.6,17.7,78.3,16.7,136.8,27.7,51.167,17.34,6.953,2.096,136297,492,88.8
2018,제주시,제주시,87,제주특별자치도 제주시 추자면 신양리 560-2,100,123.2,16.6,61.5,15.8,105.6,23.3,36.13,20.236,5.042,2.472,118404,1115,86.5
