년,월,생태구역,연안명칭,"St.
No
",해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,구군,Ds
2017.0,2.0,동해,거진연안,1,1,10.581,10.2312,34.3232,34.3175,8.27,8.26,9.11399927362981,9.09706096574414,1.160736,1.209552,1.3019999999999998,2.198,2.5340000000000003,1.652,65.66,65.548,69.49600000000001,69.398,137.536,153.14600000000004,10.447000000000001,10.664000000000001,20.677,25.389,228.088,233.296,9.24999999999998,6.25000000000001,0.688,0.494,13.0,거진,
2017.0,2.0,동해,거진연안,2,1,10.0457,9.8817,34.3308,34.3363,8.28,8.28,9.3643838690592,9.28067137055732,1.209552,0.9003840000000021,0.784,2.184,2.198,2.6180000000000003,63.77,72.25399999999998,66.752,77.056,145.894,152.964,9.3,10.974,20.739,24.521,232.28799999999998,266.056,11.85,13.4,0.0,0.506,9.0,거진,
2017.0,2.0,동해,속초연안,1,1,10.1998,10.1294,34.2738,34.2607,8.18,8.21,9.61476846448859,9.28067137055732,0.9491999999999979,0.9003840000000021,2.086,1.68,1.82,2.702,53.718,79.99600000000002,57.623999999999995,84.37799999999999,173.43200000000004,145.34799999999996,8.152999999999999,10.664000000000001,24.862,20.212,177.18400000000003,258.80400000000003,10.55,7.75000000000001,0.636,0.46799999999999997,11.0,속초,
2017.0,2.0,동해,속초연안,2,1,10.3197,10.3108,34.3053,34.3041,8.23,8.22,9.197460805439599,9.18052024065922,1.0305600000000001,1.160736,14.252,2.716,1.68,1.876,59.458,57.106,75.39,61.698,145.264,138.572,8.99,9.269,19.592,18.879,208.852,201.824,9.70000000000001,9.55000000000003,0.426,0.53,13.0,속초,
2017.0,2.0,동해,속초연안,3,1,10.2328,10.1598,34.3015,34.2956,8.26,8.24,9.3643838690592,9.29736322554034,1.209552,1.046832,1.442,3.0660000000000003,1.9180000000000001,1.876,57.722,53.452,61.082,58.394,165.55,155.078,9.548,9.113999999999999,13.671,24.18,211.34400000000002,188.77599999999998,12.0,4.3,0.0,0.396,10.0,속초,
2017.0,2.0,동해,속초연안,4,1,10.3515,10.3304,34.233000000000004,34.2848,8.28,8.28,9.197460805439599,9.130444675710171,1.160736,1.046832,3.0660000000000003,3.388,2.24,1.5119999999999998,68.334,55.566,73.64,60.466,152.754,145.628,9.796,8.99,19.406,19.995,249.25599999999997,202.468,9.750000000000009,5.099999999999991,0.376,0.4920000000000001,13.0,속초,
2017.0,2.0,동해,양양연안,1,1,10.5022,10.3445,34.3036,34.3047,8.27,8.29,9.38107617542116,9.28067137055732,1.063104,0.70512,2.45,2.6039999999999996,1.4280000000000002,1.5819999999999999,46.508,52.864,50.386,57.05,143.556,172.41,7.905,8.618,18.91,21.761999999999997,174.94400000000005,217.868,7.05,5.0,0.62,0.9940000000000001,12.0,양양,
2017.0,2.0,동해,양양연안,2,1,10.5017,10.204,34.3303,34.3161,8.27,8.28,9.11399927362981,9.38082250045543,1.19328,0.8678400000000029,1.61,2.87,2.198,1.022,61.333999999999996,50.316,65.142,54.208,100.28200000000001,162.4,9.61,8.618,12.183,20.367,236.93599999999998,226.296,8.74999999999998,4.5,0.556,0.948,11.5,양양,
2017.0,2.0,동해,양양연안,3,1,10.3727,10.2575,34.2933,34.3108,8.29,8.29,9.23084541816352,9.28067137055732,0.737664,1.0793760000000001,2.114,3.99,2.226,2.03,66.78,63.994,71.12,70.014,165.298,167.53799999999995,10.199,9.796,21.266,21.545,237.692,240.66,5.649999999999992,7.45000000000001,0.456,0.46799999999999997,13.5,양양,
2017.0,2.0,동해,양양연안,4,1,10.3608,10.152000000000001,34.2789,34.308,8.29,8.29,9.38107617542116,9.464281775370507,0.9491999999999979,1.19328,3.444,3.6260000000000003,2.0580000000000003,1.5959999999999999,58.408,55.86,63.91,61.082,144.984,166.18,9.3,8.927999999999997,17.143,21.514,214.76,220.388,7.8,5.499999999999981,0.862,0.8,12.0,양양,
