년,시도,시군,일별처리량,"소재지
(도로명 주소 및 지번주소 병기)",시설용량(톤/일)(A),유입BOD(mg/L)평균,방류BOD(mg/L)평균,"평균
처리효율
(%)",유입COD(mg/L)평균,방류COD(mg/L)평균,유입SS(mg/L)평균,방류SS(mg/L)평균,유입T-N(mg/L)평균,방류T-N(mg/L)평균,유입T-P(mg/L)평균,방류T-P(mg/L)평균,유입대장균군수(개/mL)평균,방류대장균군수(개/mL)평균
2015,부산,기장군,416.0,부산 기장군 장안 장안산단 1로 89(반룡리 860),1000,246.6,6.4,0.9740470397404704,134.6,9.3,75.8,2.2,76.43,7.392,10.285,0.28600000000000003,68792.0,379.0
2015,부산,부산시,67.67123287671232,부산 기장군 장안읍 명례산단 1로 5(기룡리 1139-7),1600,100.3,4.6,0.9541375872382852,145.0,7.6,145.0,4.2,38.9,10.3,6.0,1.1,589000.0,12.0
2015,울산,울주군,57882.19178082192,울산시 울주군 청량면 상개로 14(상남리 3-1),85000,76.19561643835611,0.9915068493150676,0.9869873505109416,106.25698630136988,21.53013698630138,85.45917808219178,2.594520547945205,21.284139726027398,8.98780273972602,2.190602739726027,0.14141095890410962,16238.356164383562,586.7397260273972
2015,경남,의령군,426.0986301369863,의령군 부림면 한지20길 39-44(부림면 신반리 959),900,1212.6,1.9,0.9984331189180272,670.0,5.0,815.0,1.2,111.384,4.843999999999999,13.81,0.049,138641.0,127.0
2015,경남,거창군,170.15068493150685,경남 거창군 거창읍 심소정길 185(양평리 290-1),1300,138.5,1.5,0.9891696750902528,134.5,7.1,371.4,2.9,34.79,8.5,4.211,0.1,69114.0,6.0
2015,경남,고성군,754.5205479452055,고성군 고성읍 월평로 163(율대리 149-1),1000,1662.6,3.1,0.998135450499218,591.4,23.7,326.5,2.4,345.45,12.681,13.152000000000001,0.866,16887250.0,291.0
2015,경남,김해시,327.0712328767123,김해시 진영읍 서부로 179번길 57(죽곡리 2-1),600,104.1,5.0,0.951969260326609,71.9,9.0,47.7,5.0,38.05,13.562000000000001,4.077,0.196,3345.0,179.0
2015,경남,김해시,54.24657534246575,김해시 한림면 김해대로916번길 140(병동리 562),300,87.5,5.0,0.9428571428571428,74.3,14.6,152.0,5.5,67.873,12.908,6.189,0.226,0.0,247.0
2015,경남,김해시,126.413698630137,김해시 주촌면 서부로 1637번길 324( 덕암리 795),270,107.1,4.2,0.9607843137254902,125.7,9.2,106.4,4.7,29.092,13.225,3.225,0.209,2837.0,302.0
2015,경남,사천시,2454.794520547945,사천시 사남면 외국기업로 230(방지리 202),5700,110.4,0.5879166666666666,0.9946746678743962,58.2,4.755555555555556,97.2,0.5491898148148148,29.27886990740741,6.172449074074074,4.04095324074074,0.02884537037037037,30475.0,13.590277777777775
2015,경남,사천시,35.61643835616439,사천시 송포공단길 86(송포동 1539-3),150,587.0,4.83,0.991771720613288,221.74,14.02,79.39,7.78,38.89,6.4,4.5,0.78,0.0,898.75
2015,경남,산청군,31.0,산청군 금서면 친환경로 2436(매촌리 1329),50,0.9,0.78,0.1333333333333333,1.56,1.21,0.92,0.38,1.319,1.4080000000000001,0.018000000000000002,0.013999999999999999,0.0,0.0
2015,경남,양산시,7709.589041095891,경남 양산시 충렬로 111(교동 90),13000,303.5,1.3,0.9957166392092256,243.1,11.9,169.9,2.2,36.05,10.360999999999999,6.04,0.043,11426.0,2.0
2015,경남,양산시,1895.890410958904,경남 양산시 어곡로 50(어곡동 870-5),10000,381.4,5.2,0.9863660199265862,261.2,10.9,175.1,2.6,24.309,7.144,5.587000000000001,0.013999999999999999,213708.0,210.0
2015,경남,진주시,115.29041095890409,경남 진주시 사봉면 산업단지로 44번길 80(사곡리 1822),1000,138.4,2.6,0.98121387283237,69.8,5.6,136.5,1.8,48.888000000000005,9.715,5.455,0.068,42800.0,0.0
2015,경남,진주시,536.986301369863,진주시 정촌면 산단중앙로 70(예하리 1242),2250,198.2,2.0,0.989909182643794,146.0,5.6,218.0,1.344,65.123,6.81,6.922999999999999,0.19699999999999998,49470.0,3.0
2015,경남,진주시,22943.71780821918,"진주시 남강로 1511 (73-1, 초전동)",30000,210.7,3.1,0.9852871381110584,206.0,15.3,286.0,3.3,34.536,9.863,3.016,0.08900000000000001,76615.0,14.0
2015,경남,창녕군,327.9397260273973,경남 창녕군 대합면 용산 유산로 94(합리 1233-4),1200,84.2,1.9,0.9774346793349168,69.2,5.8,129.5,1.9,25.363000000000003,3.59,3.255,0.079,171878.0,30.0
2015,경남,창원시,575.0,창원시 마산합포구 진북면 산단3길 87(신촌리 137번지),2000,146.3,0.7,0.9952153110047848,76.7,4.2,86.1,0.8,46.83,3.812,4.297,0.040999999999999995,58284.0,2.0
2015,경남,통영,1568.1150684931506,통영시 광도면 공단로 902(황리 1610),3000,259.9,1.6,0.9938437860715659,155.7,5.0,243.5,1.1,50.721000000000004,6.065,7.104,0.033,292075.0,30.0
2015,경남,함안군,9027.397260273972,"함안군 칠서면 공단안길110
(대치리 18)",14000,78.4,1.8,0.9770408163265306,140.0,15.3,298.0,1.3,25.171999999999997,8.838,9.146,0.17300000000000001,38845.0,84.0
2015,경남,함안군,730.3369863013697,함안군 군북면 함안산단 7길 68(사도리 산5-5),1700,147.6,1.6,0.9891598915989159,89.4,7.7,165.1,0.8,53.214,9.4,3.2910000000000004,0.055999999999999994,286500.0,277.3
2015,경남,함안군,202.73972602739727,함안군 군북면 오장골길 96(덕대리 500),500,29.1,3.9,0.865979381443299,17.2,7.2,20.3,4.4,6.093,3.997,0.311,0.059000000000000004,6607.0,10.0
2015,경남,함안군,117.8082191780822,함안군 가야읍 광정로 298(광정리 1209),300,270.4,3.2,0.9881656804733728,189.6,13.3,355.0,5.4,45.583999999999996,11.158,5.99,0.2,340916.7,420.75
2015,경남,합천군,162.28767123287668,합천군 율곡면 임북공단길 12-7(임북리 433-1),300,132.53,8.43,0.9363917603561458,129.27,22.24,66.07,8.03,26.8086,9.0382,4.6165,0.3462,5587.0,827.0
2015,경남,합천군,842.3287671232878,합천군 야로면 야로공단길 11(야로리 436-1),3100,45.53,8.2,0.8198989677135955,25.3,18.56,24.93,8.24,5.5684,3.5681,0.7952,0.3558,659.0,30.0
2015,경북,고령군,1147.9452054794522,"경북 고령군 개진면 회천로 338
(경북 고령군 개진면 반운리748)",1650,2.7,1.8,0.33333333333333337,4.2,3.5,12.3,4.0,4.58,4.185,0.11599999999999999,0.046,676.0,79.0
2015,경북,영양군,57.534246575342465,"경북 영양군 일월면 주실1길 57-16
(경북 영양군 일월면 주곡리 576-2)",650,270.0,2.2,0.991851851851852,228.0,8.7,209.1,5.7,30.355999999999998,8.267999999999999,6.647,0.12300000000000001,15983.0,0.0
2015,경북,예천군,232.80273972602743,예천군 예천읍 농공단지길 53,450,346.1,5.6,0.9838197052874892,275.5,22.1,369.6,6.6,21.953000000000003,4.11,2.568,0.18100000000000002,4612.0,64.0
2015,전북,전주시,6.575342465753424,"전주시 완산구 정여립로 655-5
(전주시 완산구 상림동 산188)",230,3721.0,5.5,0.998521902714324,3807.0,12.5,3459.0,5.0,77.0,6.0,10.0,0.0,101942.0,340.0
2015,전북,군산시,16997.75068493151,"군산시 외항로 1350
(비응도동 21)",30000,212.8,2.6,0.987781954887218,221.6,13.1,214.0,2.6,19.281,6.904,7.495,0.705,210066.0,30.0
2015,전북,군산시,216.43835616438355,"군산시 서수면 상장곤윗길 42
(마룡리 93-18)",300,135.9,4.2,0.9690949227373068,119.7,7.8,59.6,1.2,73.725,16.461,4.149,0.11699999999999999,8421.0,66.9
2015,전북,익산시,23228.0,"익산시 금강동 316번지
(익산시 하나로2길 16)",30000,111.1,4.4,0.9603960396039604,104.8,11.4,118.2,4.1,30.553,8.197000000000001,3.2969999999999997,0.079,124783.0,64.0
2015,전북,익산시,184.10958904109592,"익산시황등면석재단지길91-39
(황등면율촌리876)",6000,4.8,2.7,0.4374999999999999,4.2,4.9,398.5,3.6,6.835,4.861000000000001,0.36200000000000004,0.016,152.0,103.0
2015,전북,익산시,169.0,"익산시 왕궁면 광암리 1381번지
(익산시 왕궁면 왕궁농공단지길 67)",250,103.0,4.8,0.9533980582524272,100.3,8.5,123.6,3.8,30.930999999999997,9.252,2.92,0.04,100957.0,30.0
2015,전북,익산시,364.3835616438356,전북 익산시 낭산면 산단구평길 143-46,5500,63.9,2.1,0.9671361502347418,52.3,7.0,56.0,2.2,17.822,4.989,3.793,0.044000000000000004,4087.0,0.0
2015,전북,정읍시,283.5095890410958,"정읍시 신태인읍 석지로 633
(정읍시 신태인읍 신용리 1371번지)",600,172.1,2.3,0.9866356769320164,134.3,7.6,183.2,2.2,31.151999999999997,13.525,10.542,0.094,37246.0,476.0
2015,전북,김제시,279.45205479452056,"김제시 봉황공단 2길 30-18
(월성동 491-11)",450,452.0,9.6,0.9787610619469028,178.6,21.7,308.6,5.3,80.542,13.634,13.392000000000001,1.3430000000000002,15504.2,900.0
2015,전북,완주군,11246.575342465754,"완주군 삼례읍 후상제방길 62
(후정리 184)",27000,168.4,1.0,0.994061757719715,98.7,10.5,231.8,1.6,30.951999999999998,4.622,2.333,0.040999999999999995,198400.0,42.64
2015,전북,부안군,2731.564383561644,부안군 행안면 옥여길 32-14,5100,461.9,2.1,0.9954535613769214,173.8,11.4,303.9,5.4,109.495,19.912,5.696000000000001,0.063,4863.0,40.0
2015,전남,여수,56865.0,여수시 산단중앙로 409,65000,74.6884931506849,1.7630136986301368,0.9763951095509018,103.60273972602732,12.271780821917815,130.79917808219176,4.30931506849315,29.77375890410957,9.562147945205474,2.9100739726027376,0.5015753424657532,1282.876712328767,58.78356164383562
2015,전남,여수,42786.30136986302,여수시 여수산단로 1201,70000,77.5,2.2,0.9716129032258064,108.1,18.2,118.4,4.8,28.361,11.626,3.1210000000000004,0.536,1903.0,108.0
2015,전남,광양시,1676.0,전남 광양시 산업로 125(태인동 1658-1),3200,66.6,6.8,0.8978978978978979,71.4,17.6,196.1,3.2,43.68,8.5,3.69,0.58,56103.0,1.0
2015,전남,여수시,1128.7671232876712,"전남 여수시 율촌면 율촌산단1로 285
(전남 여수시 율촌면 조화리 921번지)",3500,59.3,2.8,0.9527824620573356,72.9,17.7,61.6,0.8,34.68,12.034,2.471,0.133,94751.0,2.0
2015,전남,고흥군,151.0,"고흥군 동강면 청정식품단지길 86
(고흥군 동강면 장덕리 1118-6번지)",400,908.6,2.6,0.9971384547655734,563.8,6.2,388.2,1.8,59.123000000000005,7.729,27.894000000000002,1.766,88042.0,42.5
2015,전남,구례군,158.9041095890411,전남 구례군 간전면 간문리,200,50.0,1.5,0.97,32.7,3.9,53.1,2.6,13.595999999999998,4.196000000000001,1.474,0.179,7833.0,131.0
2015,전남,구례군,369.8630136986301,전남 구례군 용방면 용산로 107-66,500,651.6,7.1,0.9891037446286064,425.9,18.4,425.9,2.1,25.075,6.167000000000001,1.382,0.10099999999999999,64021.0,87.0
