년,유역청,시도,시군,일별처리량,"소재지
(도로명 주소 및 지번주소 병기)",대권역명,중권역명,소권역명,공동처리구역면적(ha),시설용량(톤/일)(A),"총처리량
(천톤/년)",유입BOD(mg/L),방류BOD(mg/L),유입COD(mg/L),방류COD(mg/L),유입SS(mg/L),방류SS(mg/L),유입T-N(mg/L),방류T-N(mg/L),유입T-P(mg/L),방류T-P(mg/L),유입대장균군수(개/mL),방류대장균군수(개/mL),유입생태독성(TU),방류생태독성(TU),유입BOD(mg/L)평균,방류BOD(mg/L)평균,"평균
처리효율
(%)",유입COD(mg/L)평균,방류COD(mg/L)평균,"평균
처리효율
(%).1",유입SS(mg/L)평균,방류SS(mg/L)평균,"평균
처리효율
(%).2",유입T-N(mg/L)평균,방류T-N(mg/L)평균,"평균
처리효율
(%).3",유입T-P(mg/L)평균,방류T-P(mg/L)평균,"평균
처리효율
(%).4",유입대장균군수(개/mL)평균,방류대장균군수(개/mL)평균,"평균
처리효율
(%).5",유입생태독성(TU)평균,방류생태독성(TU)평균,"평균
처리효율
(%).6"
2015,낙동강,부산,기장군,416.0,부산 기장군 장안 장안산단 1로 89(반룡리 860),낙동강권역,수영강,효암천,154.3,1000,151.84,169.0,10.0,160,40.0,153.0,10.0,41,20,9,2.0,200000,3000,0,1,246.6,6.4,0.9740470397404704,134.6,9.3,0.9309063893016345,75.8,2.2,0.9709762532981531,76.43,7.392,0.9032840507654063,10.285,0.286,0.9721925133689839,68792.0,379.0,0.994490638446331,2.86,0.0,1
2015,낙동강,부산,부산시,67.67123287671232,부산 기장군 장안읍 명례산단 1로 5(기룡리 1139-7),낙동강권역,수영강,효암천,156.6,1600,24.7,225.0,10.0,230,40.0,230.0,10.0,41,20,12,2.0,200000,3000,0,2,100.3,4.6,0.9541375872382851,145.0,7.6,0.9475862068965517,145.0,4.2,0.9710344827586207,38.9,10.3,0.7352185089974292,6.0,1.1,0.8166666666666667,589000.0,12.0,0.9999796264855687,1.5,0.0,1
2015,낙동강,울산,울주군,57882.191780821915,울산시 울주군 청량면 상개로 14(상남리 3-1),낙동강권역,회야강,청량천,485.0,85000,21127.0,600.0,7.0,570,25.0,230.0,7.0,37,10,13,1.0,15000,1000,0,0,76.19561643835611,0.9915068493150675,0.9869873505109416,106.25698630136989,21.53013698630138,0.7973767397727917,85.45917808219178,2.594520547945205,0.9696402351839859,21.2841397260274,8.98780273972602,0.5777229967751412,2.190602739726027,0.14141095890410962,0.9354465525219805,16238.356164383562,586.7397260273973,0.9638670490973511,0.908333333,0.0,1
2015,낙동강,경남,의령군,426.0986301369863,의령군 부림면 한지20길 39-44(부림면 신반리 959),낙동강권역,낙동창녕,신반천,11.9,900,155.526,1092.6,8.0,552,18.0,759.9,5.0,84.5,18,16.4,0.3,300000,1000,0,0,1212.6,1.9,0.9984331189180273,670.0,5.0,0.9925373134328358,815.0,1.2,0.9985276073619632,111.384,4.844,0.956510809451986,13.81,0.049,0.9964518464880522,138641.0,127.0,0.9990839650608406,3.5,0.0,1
2015,낙동강,경남,거창군,170.15068493150685,경남 거창군 거창읍 심소정길 185(양평리 290-1),낙동강권역,합천댐,황강,106.57,1300,62.105,226.5,5.0,246.8,10.0,214.5,5.0,47.168,10,9.823,0.5,200000,3000,1.97,0,138.5,1.5,0.9891696750902527,134.5,7.1,0.9472118959107807,371.4,2.9,0.9921917070543887,34.79,8.5,0.7556769186547858,4.211,0.1,0.9762526715744478,69114.0,6.0,0.9999131869085858,1.97,0.0,1
2015,낙동강,경남,고성군,754.5205479452055,고성군 고성읍 월평로 163(율대리 149-1),낙동강권역,가화천,학림천,12.0,1000,275.4,1500.0,8.0,800,30.0,250.0,8.0,220,16,35,1.6,70000,2800,0,0,1662.6,3.1,0.9981354504992181,591.4,23.7,0.9599256002705445,326.5,2.4,0.9926493108728943,345.45,12.681,0.9632913590968302,13.152,0.866,0.934154501216545,16887250.0,291.0,0.9999827680646641,9.0,0.0,1
2015,낙동강,경남,김해시,327.0712328767123,김해시 진영읍 서부로 179번길 57(죽곡리 2-1),낙동강권역,낙동밀양,화포천,36.5,600,119.381,259.0,10.0,209,40.0,120.0,10.0,60,20,8,0.3,0,0,0,0,104.1,5.0,0.951969260326609,71.9,9.0,0.874826147426982,47.7,5.0,0.8951781970649895,38.05,13.562,0.643574244415243,4.077,0.196,0.951925435369144,3345.0,179.0,0.9464872944693572,0.7,0.0,1
2015,낙동강,경남,김해시,54.24657534246575,김해시 한림면 김해대로916번길 140(병동리 562),낙동강권역,낙동밀양,화포천,9.5,300,19.8,190.0,5.0,160,9.5,200.0,3.0,40,17,7,0.3,0,0,0,0,87.5,5.0,0.9428571428571428,74.3,14.6,0.8034993270524899,152.0,5.5,0.9638157894736842,67.873,12.908,0.8098212838684014,6.189,0.226,0.9634835999353693,0.0,247.0,-,2.71,0.0,1
2015,낙동강,경남,김해시,126.41369863013699,김해시 주촌면 서부로 1637번길 324( 덕암리 795),낙동강권역,낙동강하구언,조만강,10.9,270,46.141,250.0,1.5,250,7.5,150.0,6.0,35,9,5.2,0.3,0,0,0,0,107.1,4.2,0.9607843137254902,125.7,9.2,0.9268098647573588,106.4,4.7,0.9558270676691729,29.092,13.225,0.545407672212292,3.225,0.209,0.9351937984496124,2837.0,302.0,0.8935495241452238,1.52,0.0,1
2015,낙동강,경남,사천시,2454.794520547945,사천시 사남면 외국기업로 230(방지리 202),낙동강권역,가화천,사천만,473.9,5700,896.0,183.0,10.0,186,12.1,194.0,10.0,40.1,20,10.5,1.7,0,0,0,0,110.4,0.5879166666666666,0.9946746678743962,58.2,4.7555555555555555,0.9182894234440626,97.2,0.5491898148148148,0.994349899024539,29.278869907407408,6.172449074074074,0.7891841763840592,4.04095324074074,0.028845370370370372,0.9928617411160435,30475.0,13.590277777777777,0.9995540515905569,0.06666666666666667,0.0,1
