년,월,생태구역,연안명칭,"St.
No
",해수수질기준,표층수온,저층수온,표층염분,저층염분,표층pH,저층pH,표층DO,저층DO,표층COD,저층COD,표층NH4-N,저층NH4-N,표층NO2-N,저층NO2-N,표층NO3-N,저층NO3-N,표층DIN,저층DIN,표층T-N,저층T-N,표층DIP,저층DIP,표층T-P,저층T-P,표층SiO2-Si,저층SiO2-Si,표층SS,저층SS,표층Chl-a,저층Chl-a,표층투명도,Ds,구군
2015.0,2.0,동해,거진연안,1,1,5.3747,4.3124,34.0458,33.9969,8.09,8.07,10.550846045675339,10.49719467654622,0.31699519999999803,0.3653503999999999,2.744,7.392,2.968,2.086,59.794,53.466,65.506,62.944,292.96497999999997,304.4430200000001,10.137,9.672,21.04218,19.81086,225.0,207.54,1.0000000000000009,1.2999999999999956,0.564,0.564,15.0,10.366438201192356,거진
2015.0,2.0,동해,거진연안,2,1,5.1215,4.9201,33.9709,34.0076,8.12,8.12,10.606606120339741,10.592400566571555,0.5587711999999987,0.4459423999999982,4.3260000000000005,4.564,2.492,2.198,58.226000000000006,57.456,65.044,64.218,308.4358200000001,305.7075,10.137,9.889,20.685370000000002,21.83516,222.7,223.1,1.9000000000000128,1.7999999999999958,0.486,0.362,13.0,10.213559561637645,거진
2015.0,2.0,동해,속초연안,1,1,5.1585,5.3037,33.9601,34.0315,8.08,8.09,10.637741543071163,10.644849340328346,0.26863999999999905,0.3008767999999984,8.288,9.338,2.45,2.254,72.59,72.67399999999998,83.32799999999997,84.266,326.30024,308.7193200000001,11.873,11.656,25.20982,23.42577,249.5,247.02,1.4999999999999736,1.5999999999999903,0.28600000000000003,0.41,13.0,10.117963574796129,속초
2015.0,2.0,동해,속초연안,2,1,5.4283,5.3188,34.0491,34.0469,8.1,8.1,10.314732108013173,10.40376345991514,0.5426527999999989,0.4781791999999975,10.122,12.222,2.66,2.408,69.342,69.734,82.124,84.36399999999998,314.90312,304.77048,11.997,12.028,25.58926,22.79399,250.9,251.22,2.2999999999999963,1.899999999999985,0.39,0.452,13.0,10.113271857591677,속초
2015.0,2.0,동해,속초연안,3,1,5.4563,5.3802,34.0606,34.0528,8.09,8.1,10.535832717682617,10.332220691382787,0.7521919999999975,0.6393631999999998,6.4540000000000015,9.8,2.758,2.38,70.616,69.93,79.828,82.11000000000001,315.38976,311.19158,11.842,12.245,22.01837,22.3448,259.1,250.88,2.0999999999999908,1.3999999999999846,0.414,0.474,11.0,10.097991338569857,속초
2015.0,2.0,동해,속초연안,4,1,5.9461,4.8457,34.0001,34.0092,8.09,8.06,10.01911630333256,10.370199374189543,0.5104159999999996,0.10745599999999964,0.56,4.746,3.22,2.394,88.242,67.13,92.022,74.27,252.28644,292.4711999999999,13.392,10.943,20.46527,20.699630000000006,303.9,237.78,2.5999999999999908,7.500000000000008,0.81,0.238,13.0,10.231864604460618,속초
2015.0,2.0,동해,양양연안,1,1,7.2241,5.0148,34.154,34.0132,8.1,8.11,10.086531325521252,9.922798162546199,0.1880479999999979,0.1880479999999979,1.96,5.6560000000000015,3.878,2.5340000000000003,96.306,98.504,102.14399999999999,106.694,308.96852,313.63752,14.136,15.438,23.78599,25.21788,341.2,307.61,0.8,2.4,0.17379999999999998,0.0848,11.0,10.189831908909632,양양
2015.0,2.0,동해,양양연안,2,1,7.6516,5.5529,34.1761,34.0809,8.12,8.05,9.857728973878164,9.964457475728157,0.3814687999999995,0.3975871999999992,2.926,3.850000000000001,4.746,2.254,100.534,104.146,108.206,110.25,318.2981200000001,330.31404,14.105,15.934,23.70508,24.86169,337.7,313.91,1.7000000000000068,2.200000000000008,0.6920000000000001,0.12919999999999998,11.0,10.054470012778234,양양
2015.0,2.0,동해,양양연안,3,1,6.375,4.4538,34.082,34.0042,8.1,8.08,9.808649684706623,10.164483939389887,0.3599776000000019,0.4244512000000005,0.252,6.957999999999998,3.626,2.45,88.844,75.61399999999998,92.722,85.022,323.9157600000001,316.057,13.175,12.803,22.61078,21.09581,329.3,258.83,2.0999999999999908,1.7000000000000068,0.99,0.1316,13.0,10.330177128571894,양양
2015.0,2.0,동해,양양연안,4,1,6.9257,4.8081,34.1369,34.0136,8.1,8.04,9.85475535487714,9.803125682671848,0.27938560000000073,0.3599776000000019,0.084,3.5700000000000003,3.654,2.604,91.0,103.866,94.738,110.04,325.8396400000001,323.8624200000001,13.609000000000002,15.655,22.52894,27.005340000000004,330.2,318.72,2.0000000000000018,1.5999999999999903,0.93,0.1958,11.0,10.240895224672055,양양
