ÇØ¼ö¼öÁú±âÁØ,ÀúÃþ¼ö¿Â,ÀúÃþ¿°ºÐ,ÀúÃþDO,Ç¥ÃþDIN,Ç¥ÃþDIP,Ç¥ÃþChl-a,Ç¥ÃþÅõ¸íµµ,¼ö°Å·®,¼ö°Å·®2,Á¤È­¸éÀû,ÀÏº°Ã³¸®·®,½Ã¼³¿ë·®(Åæ/ÀÏ)(A),¹æ·ùBOD(mg/L)Æò±Õ,"Æò±Õ
Ã³¸®È¿À²
(%)",¹æ·ùCOD(mg/L)Æò±Õ,¹æ·ùSS(mg/L)Æò±Õ,¹æ·ùT-N(mg/L)Æò±Õ,¹æ·ùT-P(mg/L)Æò±Õ,¹æ·ù´ëÀå±Õ±º¼ö(°³/mL)Æò±Õ
1,10.2312,34.3175,9.097060966,69.496,10.447,0.688,13,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,9.8817,34.3363,9.280671371,66.752,9.3,0,9,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,10.1294,34.2607,9.280671371,57.624,8.153,0.636,11,420.6451613,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
1,10.3108,34.3041,9.180520241,75.39,8.99,0.426,13,420.6451613,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
1,10.1598,34.2956,9.297363226,61.082,9.548,0,10,420.6451613,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
1,10.3304,34.2848,9.130444676,73.64,9.796,0.376,13,420.6451613,114.43,26,1403.682192,4000,1.264705882,0.999629034,6.690588235,0.270588235,7.804492778,0.783663453,12.68627451
1,10.3445,34.3047,9.280671371,50.386,7.905,0.62,12,420.6451613,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
1,10.204,34.3161,9.3808225,65.142,9.61,0.556,11.5,420.6451613,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
1,10.2575,34.3108,9.280671371,71.12,10.199,0.456,13.5,420.6451613,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
1,10.152,34.308,9.464281775,63.91,9.3,0.862,12,420.6451613,114.43,26,542,1200,2.7,0.996726876,7.12,2.36,8.55,0.39,150
2,10.0348,34.3083,9.48097363,57.736,8.494,0.596,7,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.1651,34.3204,9.364130645,56.77,8.68,0.548,12,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.3807,34.3604,9.364130645,55.356,8.649,0.816,13,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.4194,34.3556,9.34743879,79.408,8.773,0.226,14,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.4693,34.3702,9.180520241,70.224,10.695,0.486,14,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.8041,34.3276,8.796607576,78.722,10.292,0.26,12,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,11.0065,34.3496,8.996909836,63.448,9.083,0.268,12,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.9287,34.3346,8.746532011,79.52,9.858,0.342,23,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.5129,34.3007,8.763223866,82.348,11.346,0.314,13,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
3,6.1385,34.085,7.711637002,63.854,8.649,0.22,16,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
2,7.2681,34.0459,7.861863697,76.174,9.455,0.1986,17.5,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,10.955,34.3409,8.696456446,72.17,8.618,0.143,17,420.6451613,114.43,26,1233.323288,2600,1.08,0.999731738,12.1,0.9,11.244,0.057,0
1,11.3081,34.4097,8.763223866,64.554,8.463,0.276,14,221.4285714,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
1,11.0706,34.4013,8.663072736,62.972,9.176,0.288,18,221.4285714,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
1,11.2255,34.4053,8.646380881,59.36,7.905,0.62,16,221.4285714,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
1,10.9293,34.3714,8.880066851,66.626,8.742,0.398,19,221.4285714,114.43,26,1779.545205,6500,1.6,0.998950751,17.1,3.2,10.204,0.299,208
1,11.1777,34.4077,8.880066851,72.674,9.486,0.528,13,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.3774,34.3925,8.813299431,79.856,10.075,0.478,14,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.517,34.3985,8.763223866,66.29,8.928,0.656,18,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.5764,34.4009,8.813299431,61.04,7.874,0.336,23.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.5079,34.3852,8.763223866,74.97,9.889,0.1952,17.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.5755,34.3713,8.913450561,70.112,8.68,0.25,18.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.4598,34.3547,8.980217981,69.93,9.641,0.0488,18,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.4605,34.3518,9.130444676,77.238,9.765,0.053,18,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.5232,34.3925,8.946834271,73.094,9.269,0.266,20,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.5196,34.3926,8.896758706,65.072,8.525,0.332,18,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,12.2409,34.4611,9.205368418,49.252,7.967,1.098,11,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,12.3724,34.4686,8.796604279,69.86,9.889,0.592,12,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,12.1346,34.4623,9.041862762,55.258,9.796,0.924,13,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,4.8029,34.0439,8.518644664,60.522,10.075,0.368,15,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.9365,34.4431,9.254420115,52.962,9.176,0.562,12,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.7867,34.44456,9.614132557,52.066,8.773,0.794,10.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.5048,34.4773,9.041862762,51.87,7.874,0.0906,14,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.8678,34.4669,8.633098623,60.998,9.61,0.1478,9.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.8571,34.3565,9.107265024,51.968,7.688,0.746,3.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.4531,34.3228,9.450626902,54.502,7.409,0.696,5.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.6138,34.3081,9.368874074,44.632,7.409,0.686,5.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.6221,34.2931,9.319822377,48.846,7.409,0.7,5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.9206,34.4508,9.254420115,35.616,7.564,0.564,6.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.7163,34.3941,9.074563893,39.088,7.564,0.718,6,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,11.0215,34.4258,9.287121246,50.624,7.502,0.678,7,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,11.1289,34.4538,9.090914459,60.046,7.75,0.754,7.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.2506,34.5017,9.009161631,50.834,7.843,0.382,10,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.2448,34.5036,8.812954844,37.45,7.502,0.232,9,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
2,10.6902,34.3922,9.434276336,46.788,7.75,0.408,7,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,11.7201,34.495,8.56,60.522,8.153,0.0318,9.5,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,13.4476,34.4181,8.546229751,78.848,10.571,0.364,10,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,13.2171,34.4257,8.412694911,81.704,11.191,0.1704,12,420.6451613,114.43,26,650.5054795,1971.25,1.805588235,0.996308028,10.17944853,1.990281904,7.197561597,0.323697557,80.04578431
1,13.4377,34.4435,8.479462331,102.312,10.292,0.1468,10,1694.47619,225.2728571,377.9857143,4876.070015,7389.444444,2.317944921,0.949877231,8.737063913,2.425879742,6.661255342,0.161203981,218.3033112
1,13.3466,34.4134,8.295851927,82.81,7.657,0.316,11.5,1694.47619,225.2728571,377.9857143,4876.070015,7389.444444,2.317944921,0.949877231,8.737063913,2.425879742,6.661255342,0.161203981,218.3033112
1,13.177,34.4195,8.429386766,89.992,9.517,0.228,7,1694.47619,225.2728571,377.9857143,4876.070015,7389.444444,2.317944921,0.949877231,8.737063913,2.425879742,6.661255342,0.161203981,218.3033112
