년월,생태구역,연안명칭,"St.
No
",해수수질기준,표층DO,저층DO,표층DIN,저층DIN,표층DIP,저층DIP,표층Chl-a,저층Chl-a,표층투명도,수거량
201702.0,동해,거진연안,1,1.0,9.11399927362981,9.09706096574414,69.49600000000001,69.398,10.447,10.664,0.688,0.494,13.0,420.64516129032256
201702.0,동해,거진연안,2,1.0,9.3643838690592,9.28067137055732,66.752,77.056,9.3,10.974,0.0,0.506,9.0,420.64516129032256
201702.0,동해,속초연안,1,1.0,9.61476846448859,9.28067137055732,57.624,84.37799999999999,8.152999999999999,10.664,0.636,0.468,11.0,420.64516129032256
201702.0,동해,속초연안,2,1.0,9.197460805439599,9.18052024065922,75.39,61.698,8.99,9.269,0.426,0.53,13.0,420.64516129032256
201702.0,동해,속초연안,3,1.0,9.3643838690592,9.29736322554034,61.082,58.394,9.548,9.114,0.0,0.396,10.0,420.64516129032256
201702.0,동해,속초연안,4,1.0,9.197460805439599,9.130444675710171,73.64,60.466,9.796,8.99,0.376,0.4920000000000001,13.0,420.64516129032256
201702.0,동해,양양연안,1,1.0,9.38107617542116,9.28067137055732,50.386,57.05,7.905,8.618,0.62,0.994,12.0,420.64516129032256
201702.0,동해,양양연안,2,1.0,9.11399927362981,9.38082250045543,65.142,54.208,9.61,8.618,0.556,0.948,11.5,420.64516129032256
201702.0,동해,양양연안,3,1.0,9.23084541816352,9.28067137055732,71.12,70.014,10.199,9.796,0.456,0.468,13.5,420.64516129032256
201702.0,동해,양양연안,4,1.0,9.38107617542116,9.464281775370507,63.91,61.082,9.3,8.927999999999997,0.862,0.8,12.0,420.64516129032256
201702.0,동해,주문진연안,1,2.0,9.61476846448859,9.48097363035353,57.736,63.476000000000006,8.494,9.238,0.596,0.716,7.0,420.64516129032256
201702.0,동해,주문진연안,2,1.0,9.41446078814508,9.36413064547241,56.77,47.46,8.68,7.936,0.5479999999999999,0.818,12.0,420.64516129032256
201702.0,동해,주문진연안,3,1.0,9.330999256335279,9.36413064547241,55.356,64.764,8.649,9.424,0.816,0.522,13.0,420.64516129032256
201702.0,동해,주문진연안,4,1.0,9.41446078814508,9.347438790489392,79.408,71.722,8.773,9.362,0.226,0.27,14.0,420.64516129032256
